0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53,5,0,49,0,0,10,44,0,59,9,0,51,0,0,0,40,0,40,9
0,81,2,0,104,0,0,63,35,0,100,4,0,94,0,0,4,81,0,91,1
0,10,0,0,3,0,0,0,0,0,11,0,0,3,0,0,0,9,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,205,0,6,135,0,0,110,31,0,166,7,4,112,0,0,25,150,0,169,9
0,96,4,2,63,0,0,6,90,0,99,5,0,128,0,0,3,78,0,73,13
0,27,0,29,3,0,0,25,0,0,39,0,15,4,0,0,19,5,0,34,0
0,49,0,0,2,0,0,0,11,0,63,6,0,57,0,0,0,28,0,24,3
0,42,1,0,59,0,0,39,9,0,77,0,0,31,0,0,2,34,0,82,0
0,271,0,0,174,0,0,202,0,0,74,0,0,415,0,0,89,11,0,2,53
51,24,0,64,29,0,0,133,0,19,51,0,81,1,0,0,48,8,1,101,0
0,0,17,0,27,0,0,0,25,0,0,38,0,19,1,0,0,25,3,0,38
2,758,49,80,743,0,0,503,270,0,951,76,48,688,4,0,122,683,0,849,57
20,0,0,5,0,0,4,0,0,19,0,0,25,0,0,28,0,0,17,0,0
0,41,0,0,36,0,0,0,29,0,52,0,0,32,0,0,0,42,0,33,0
0,176,0,35,13,0,3,15,11,0,172,0,3,55,0,0,160,0,0,38,0
3,25,0,0,13,0,0,30,0,0,25,0,0,38,0,0,22,0,0,35,0
0,33,0,0,15,0,0,0,12,0,5,0,0,11,0,0,0,35,0,0,23
0,31,8,0,67,0,0,3,37,0,59,0,0,36,0,0,2,64,0,43,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,121,43,0,142,0,0,71,74,0,56,87,0,182,0,0,19,146,0,133,25
100,6,0,296,0,0,0,210,0,0,52,0,233,0,0,0,268,0,0,205,0
57,0,0,121,0,0,58,17,0,111,1,0,121,0,0,5,34,0,137,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,73,0,0,25,0,0,46,0,0,12,6,0,64,0,0,13,6,0,10,2
0,103,0,25,15,0,0,60,21,0,72,0,1,62,0,0,58,5,0,47,9
0,20,0,0,15,0,0,16,0,0,8,8,0,31,0,0,2,0,0,1,3
26,0,0,20,0,0,2,0,0,22,0,0,33,0,0,0,23,0,2,0,0
24,0,0,12,0,0,7,0,0,16,0,0,28,0,0,0,14,0,27,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,69,0,0,53,0,0,30,33,0,112,0,0,52,0,0,13,67,0,40,0
0,64,0,2,29,0,0,54,0,0,40,0,0,74,0,0,28,0,0,49,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,4,6,0,0,42,0,0,10,0,0,22,0,0,20,1,0,38,2
0,42,0,45,15,0,0,48,0,0,66,0,17,2,0,0,9,13,0,63,0
0,73,0,44,16,0,0,50,14,0,63,2,0,64,0,0,53,10,0,55,10
1,78,0,2,72,0,0,92,4,0,70,12,0,100,0,0,34,26,0,53,25
0,99,94,0,266,12,0,15,174,0,204,21,0,62,75,0,0,328,0,38,42
0,128,0,3,79,0,0,68,18,0,95,4,2,63,0,0,12,84,0,96,5
0,10,0,0,2,0,0,36,0,0,16,0,0,42,0,0,15,0,0,42,0
6,76,0,5,46,0,0,76,3,0,41,5,0,64,0,0,40,11,0,95,2
25,58,0,105,12,0,0,130,0,0,169,0,138,2,0,0,63,22,0,108,2
13,183,0,93,67,0,0,134,40,3,201,0,53,148,0,0,162,27,0,147,21
1,44,4,2,78,0,0,30,16,0,100,0,0,62,0,0,6,43,0,57,2
0,56,4,1,23,0,0,0,19,0,69,2,0,33,2,0,0,43,0,24,4
3,130,0,62,23,0,0,220,4,13,76,2,8,45,0,0,149,14,4,77,16
0,33,0,32,0,0,0,19,0,0,44,0,0,0,0,0,9,13,0,69,0
0,124,14,0,187,0,0,0,103,0,105,0,0,134,0,0,0,111,0,69,0
0,32,0,0,33,0,0,20,5,0,33,0,0,14,0,0,0,19,0,48,0
0,314,145,0,265,246,0,6,948,7,110,563,0,488,94,0,2,382,167,18,1262
14,132,0,66,23,0,0,54,38,3,122,1,19,55,0,0,122,7,2,76,4
0,311,15,0,231,13,0,15,353,0,176,30,0,149,74,0,6,290,0,42,186
0,141,0,31,128,0,0,198,17,0,191,1,7,165,0,0,127,33,0,235,11
0,65,20,18,105,0,0,74,22,0,60,25,0,85,0,0,12,55,0,83,0
104,15,0,175,4,0,0,128,0,0,108,0,195,0,0,0,101,0,0,176,0
14,3,0,97,0,0,0,35,0,0,45,0,69,0,0,0,39,2,0,67,0
0,12,0,13,0,0,0,21,0,4,11,0,0,15,0,0,23,0,0,16,0
0,87,0,0,60,0,0,0,50,0,90,0,0,36,0,0,0,74,0,58,0
0,245,0,0,144,0,0,201,0,0,97,0,0,116,0,0,104,9,0,72,42
0,200,0,196,0,0,0,257,0,0,364,0,171,0,0,0,157,50,0,255,0
6,54,0,12,45,0,0,117,4,0,87,0,8,74,0,0,69,14,0,111,0
6,54,0,12,45,0,0,121,4,0,91,0,8,74,0,0,73,14,0,117,0
122,15,2,162,0,0,103,24,0,72,41,0,140,0,0,19,103,0,87,29,0
0,31,8,9,27,2,0,8,21,0,52,2,0,40,3,0,8,33,0,24,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
